ID	landslide	x	y	elevation	slope	relprecip	profcurv	plancurv	aspect_sin	aspect_cos	canopy	treetype	treeheight	treenumber	groundwater	precip	max_precip_3h	deposit_thickness	bedrock2	landforms2	deposit2	LogFlow
2	1	202368.3669	6756325.001	314.7861682	31.026085	165.1369	1.7686465	1.11114645	-0.99732107	0.073148675	93	1	144	1293	1.5384616	149.2426	9.687027	3	2	0	1	5.96100533962327
3	1	158702.483	6784227.36	1116.340327	36.51424	162.49648	-3.4327285	0.636021376	-0.53876984	-0.842453	23	3	54	1466	1.2096775	151.0358	11.322396	3	2	1	4	6.38350663488401
4	1	157124.8049	6784814.33	877.9250366	28.470516	163.10579	0.87960446	-2.930766582	-0.69174397	-0.7221428	65	3	93	1622	1.4772727	150.2709	11.113103	3	2	0	4	5.33753807970132
5	1	215783.8211	6814926.389	711.0321802	39.339016	134.0863	-0.96858424	2.859843493	-0.66502225	-0.74682355	78	2	121	1366	1.3333334	146.715	13.047401	3	4	0	1	12.2416328209287
8	1	195701.4741	6768957.814	526.6651709	26.822685	150.06628	3.1463084	-1.497002244	-0.49022177	-0.87159777	4	3	41	618	1.5357143	130.9881	20.20805	3	4	1	1	6.04025471127741
10	1	192507.7062	6882019.57	908.0766138	41.654655	193.1048	-2.1404665	1.030969262	0.78918356	0.6141574	46	3	72	622	1.6363636	116.616905	10.407009	3	3	0	1	7.93880224815448
12	1	146100.222	6738348.602	513.0887659	36.14168	164.13503	-2.0917852	-4.976580143	0.35880148	0.9334139	29	1	192	694	1.2333333	129.5862	12.386617	2	4	0	1	14.401113172898
13	1	185205.9468	6874587.98	732.175	33.77429	206.59302	2.130799	-3.652638435	-0.5853104	-0.8108093	12	2	62	347	1.6129032	110.226395	9.431188	3	2	1	1	4.24849524204936
14	1	92223.12382	6796488.287	619.1716382	33.93933	144.54945	2.86487	-2.232620239	-0.9413828	0.33734015	4	3	33	374	0.9677419	66.4235	10.390859	2	4	0	1	3.71357206670431
15	1	116166.5882	6792750.292	741.2182935	30.404373	161.6169	0.5025439	2.527006865	0.9922028	-0.12463374	89	3	94	1144	1.075	101.1199	6.050256	1	4	1	5	4.18965474202643
20	1	72052.95694	6733495.653	456.589657	33.870655	98.24401	1.0770906	-1.697787285	-0.76014185	-0.64975715	7	3	35	471	0.875	133.7082	5.0393906	1	4	0	5	7.14361760270412
21	1	72207.94559	6733604.564	667.2342505	38.72905	98.24401	0.6560513	-2.120911598	-0.861808	-0.5072346	3	2	34	157	0.875	133.7082	5.0393906	1	4	0	5	5.46806014113513
22	1	162939.0464	6703022.829	832.7498413	27.423252	126.33488	-1.177233	2.726341248	0.6784166	0.7346774	79	1	161	982	1.1632653	105.534805	6.7180133	3	3	1	1	5.59842195899838
23	1	132917.2676	6739078.191	633.6347876	35.825035	139.7777	0.5000309	-0.012830451	0.012957838	-0.999916	90	3	139	1373	1.2439024	125.4572	12.312826	3	3	0	1	2.77258872223978
24	1	135314.782	6737843.48	672.4332642	33.998604	153.03424	2.6650646	0.423023641	-0.76715326	-0.6414639	25	2	71	665	1.195122	122.8592	12.311441	3	3	1	4	3.8286413964891
25	1	135310.9368	6737821.234	664.4721851	31.043308	153.03424	-1.1377903	-0.668639958	-0.5616306	-0.8273881	73	2	113	1165	1.195122	122.8592	12.311441	3	3	0	4	5.28826703069454
27	1	135582.3014	6737539.725	662.6833057	33.718822	153.03424	-2.7439032	0.08490552	-0.79073375	-0.6121602	48	1	170	1242	1.195122	122.8592	12.311441	3	3	1	4	5.36597601502185
28	1	135794.4364	6737567.357	754.6573071	27.387796	153.03424	1.5863236	-1.376049399	-0.8946249	-0.44681796	85	1	175	425	1.195122	122.8592	12.311441	3	4	1	4	6.15909538849193
29	1	135925.2142	6737073.583	634.148689	32.3228	153.03424	-3.545222	-0.642448545	-0.7663828	-0.6423842	48	1	119	915	1.195122	122.8592	12.311441	3	3	1	1	6.58479139238572
30	1	135947.757	6737049.538	634.8271338	37.515846	153.03424	-2.2072697	-0.020765718	-0.71569514	-0.6984128	62	3	145	806	1.195122	122.8592	12.311441	3	3	1	1	3.09104245335832
31	1	136103.9159	6736820.669	620.8804663	26.091963	157.59856	-1.9857827	5.877586365	-0.9162808	-0.40053645	0	3	0	0	1.2051282	125.8736	12.566909	3	3	1	1	4.04305126783455
32	1	136641.3161	6733648.355	710.6114868	25.395538	163.34615	-0.20511492	-0.934021175	0.2911833	0.9566673	73	2	135	793	1.1627907	129.4801	13.312782	2	4	1	1	6.88141130364254
33	1	137001.7501	6733411.406	753.4032495	24.056767	165.57156	1.840582	-2.122806549	0.36998045	0.92903954	95	1	159	1153	1.1714286	130.55591	13.390434	2	4	1	1	7.47760424319759
34	1	137218.681	6733456.152	703.5150317	25.880215	165.57156	0.81720984	0.31309855	0.29636583	0.9550745	42	1	104	733	1.1714286	130.55591	13.390434	2	4	1	1	4.72738781871234
35	1	137490.6836	6733212.865	737.0706543	35.937836	165.57156	0.80985177	-7.873263359	0.4421862	0.89692324	4	3	41	574	1.1714286	130.55591	13.390434	2	4	1	1	6.82437367004309
36	1	137557.1621	6733285.234	682.1258496	32.231094	165.57156	-0.80198413	0.718767822	0.5695671	0.82194483	40	1	113	934	1.1714286	130.55591	13.390434	2	4	0	1	7.47533923656674
37	1	139211.5883	6732149.561	819.4015625	31.324026	170.69026	0.9641383	-1.087570667	0.38321817	0.92365783	68	1	204	528	1.2162162	134.6765	12.901232	3	4	1	1	5.87773578177964
38	1	139892.6195	6734907.96	749.0889453	41.88049	167.30981	-4.4929047	2.215816021	0.44597882	-0.89504355	57	2	198	155	1.2105263	131.24	13.175376	3	4	1	4	5.2257466737132
39	1	140111.6033	6735033.322	789.105752	38.22389	166.76794	-5.690474	2.596430063	0.65646714	-0.7543546	100	1	200	731	1.2391304	131.4674	12.887094	3	4	0	4	8.06808962627824
40	1	140543.4154	6734984.591	604.9323804	37.390247	168.60074	-1.0690776	2.623764277	0.14627844	-0.98924345	100	2	184	1276	1.1666666	132.3134	12.951334	3	3	0	4	6.12905021006055
41	1	141247.2389	6735522.789	766.3601953	33.416363	167.77109	0.55947214	-1.492988825	0.3362816	-0.9417615	51	1	99	1023	1.1944444	132.1414	12.760153	2	4	1	1	5.07517381523383
