"","Model","learning_rate","min_data_in_leaf","num_leaves","lambda_l2","best_iter","mean_auc_hyp","sd_auc_hyp","mean_train_auc","sd_train_auc","mean_test_auc","sd_test_auc","mean_space","low_moran","hi_moran","low_p","hi_p"
"1","Spatial_spatial",0.05,20,32,10,15,0.640067425703092,0.0471721295319523,0.98003912619075,0.00984846572392649,0.639228564851365,0.0759288672519075,"0.693114739269713",0.0133452295723223,0.0742420558821365,4.78914264760264e-10,0.119987767621573
"2","Non_Spatial_spatial",0.05,10,16,50,293,0.668381499238083,0.0229255439803101,0.987337323759052,0.0140801210832265,0.677783196648833,0.0802594711202941,"NA",0.103364365798598,0.43654625452376,4.57975434794184e-261,2.29217877956616e-18
"3","Spatial_smallB",0.05,50,8,10,44,0.668921279287409,0.0476661473501205,0.976586111258869,0.0132446197060733,0.771719014988082,0.0601507198792934,"0.676571321841856",0.00763659500142579,0.15335110714275,9.37772364869024e-38,0.232085018772545
"4","Non_Spatial_smallB",0.05,10,8,10,154.8,0.750412729047956,0.0337373639108582,0.956505018562462,0.0685288369549949,0.708014254901079,0.130047983149612,"NA",0.0886119893893133,0.384894995273938,7.97422871494275e-196,5.55402481571733e-14
"5","Spatial_random",0.05,10,32,10,498.2,0.856965569686525,0.0119692641449754,1,0,0.898363436531259,0.0148788345033234,"0.467851279544731",0.167376229072625,0.193254929365186,9.22515662684595e-55,8.21236420472293e-42
"6","Non_Spatial_random",0.05,10,32,10,257,0.875033807886094,0.00755294339411748,0.999372707971434,0.00140266761761711,0.873095303926364,0.0219851900943193,"NA",0.0846100690043781,0.11873840504008,4.17761727025178e-22,3.60989377745175e-12
"7","Spatial_spatial_v2",0.05,20,32,10,25,0.640028680692413,0.0471997008502491,0.975437638343709,0.00492782338577352,0.639733418553666,0.0563356927597706,"0.703991672019251",0.0133452295723239,0.0502289281241521,1.54455688497667e-05,0.119987767621547
"8","Non_Spatial_spatial_v2",0.05,10,16,50,293,0.668381499238083,0.0229255439803101,0.987337323759052,0.0140801210832265,0.677805849270874,0.0802781800891702,"NA",0.103364365798598,0.43654625452376,4.57975434794184e-261,2.29217877956616e-18
"9","Spatial_largeB",0.05,10,16,10,20.4,0.605278458153524,0.0255806952591505,0.97464471076441,0.00841149084423129,0.572397205731103,0.0981423861108562,"0.709189895891193",0.0102829876934267,0.0515821085188638,2.80976147611907e-05,0.189924468283032
"10","Non_Spatial_LargeB",0.05,50,16,10,120,0.687831552726526,0.0341614865985944,0.968448748889993,0.0259097622477794,0.674804320433643,0.0901072019776131,"NA",0.117986230462954,0.265987300279914,7.88687319144315e-118,2.949847705214e-19
