,Model,learning_rate,min_data_in_leaf,num_leaves,lambda_l2,best_iter,mean_auc_hyp,sd_auc_hyp,mean_train_auc,sd_train_auc,mean_test_auc,sd_test_auc,mean_space,low_moran,hi_moran,low_p,hi_p
1,Spatial_spatial_Forest,0.05,10,16,10,130.8,0.641529281,0.0429283,0.985668107,0.0124612,0.711224943,0.099159418,0.628885129,0.015960505,0.15330945,7.47E-21,0.113767397
2,Non_Spatial_spatial_Forest,0.05,10,8,10,124,0.671658654,0.043444492,0.986463723,0.013381218,0.699951626,0.081277303,NA,0.106499692,0.207999748,3.08E-45,2.05E-14
3,Spatial_smallB_forest,0.05,20,16,10,299.4,0.726501875,0.039923317,0.993805372,0.004477399,0.764363309,0.064875219,0.586524144,0.034092505,0.18770409,4.64E-36,0.017136174
4,Non_Spatial_smallB_forest,0.05,10,16,50,236,0.78475306,0.042868881,0.997308436,0.002048341,0.757769946,0.064762727,NA,0.08995975,0.122194635,1.58E-16,1.54E-10
5,Spatial_random_forest,0.05,10,16,10,490.2,0.856156959,0.016447885,0.999997889,4.72E-06,0.893748733,0.028094349,0.434792642,0.15094524,0.266065282,1.69E-70,2.66E-24
6,Non_Spatial_random_forest,0.05,10,32,10,224,0.875991891,0.020190503,0.998719003,0.002476542,0.881811983,0.021086866,NA,0.081918939,0.121129802,2.10E-16,1.57E-08
7,Spatial_largeB_forest,0.05,10,32,10,10,0.607921259,0.042079085,0.964858826,0.00777406,0.555736863,0.047981864,0.69724123,-0.026802627,0.015031053,0.147901466,0.909685424
8,Non_Spatial_LargeB_forest,0.05,10,8,50,63.66666667,0.683528844,0.017666696,0.938458598,0.055745162,0.61934025,0.020092268,NA,0.112952177,0.382309146,2.81E-124,5.51E-14
9,Spatial_smallB_forest,0.05,20,12,10,68.75,0.678938739,0.050745174,0.976987289,0.011308919,0.729067155,0.097126905,0.678653157,0.003583454,0.074332951,3.15E-07,0.366876723
10,Non_Spatial_smallB_forest_v4,0.05,10,16,50,233.5,0.749482653,0.028219607,0.99880717,0.000811506,0.786964976,0.024220072,NA,0.072901045,0.138983956,1.54E-20,1.21E-06
